benchmark,tamanho,teste_omnibus,omnibus_p,levene_p,par,metodo_par,p_par,p_par_holm,diferenca_signif_holm,mais_rapido
nearest_neighbor,40000000,Kruskal-Wallis,2.2233775536221953e-16,0.2674910967533989,CUDA vs PolyHok,Mann-Whitney,2.974735431495655e-11,8.924206294486965e-11,True,CUDA
nearest_neighbor,40000000,Kruskal-Wallis,2.2233775536221953e-16,0.2674910967533989,Numba vs PolyHok,Mann-Whitney,9.74106027857963e-08,9.74106027857963e-08,True,CUDA
nearest_neighbor,60000000,Kruskal-Wallis,7.724790595524978e-17,0.2653196910022573,CUDA vs Numba,Mann-Whitney,3.019859359162157e-11,9.048225959672765e-11,True,CUDA
nearest_neighbor,60000000,Kruskal-Wallis,7.724790595524978e-17,0.2653196910022573,CUDA vs PolyHok,Mann-Whitney,3.016075319890922e-11,9.048225959672765e-11,True,CUDA
nearest_neighbor,60000000,Kruskal-Wallis,7.724790595524978e-17,0.2653196910022573,Numba vs PolyHok,Mann-Whitney,8.476735207602058e-09,8.476735207602058e-09,True,CUDA
nearest_neighbor,80000000,Kruskal-Wallis,9.735761604764905e-18,0.11380008129483274,CUDA vs Numba,Mann-Whitney,3.019859359162157e-11,9.025560645273085e-11,True,CUDA
nearest_neighbor,80000000,Kruskal-Wallis,9.735761604764905e-18,0.11380008129483274,CUDA vs PolyHok,Mann-Whitney,3.008520215091029e-11,9.025560645273085e-11,True,CUDA
nearest_neighbor,80000000,Kruskal-Wallis,9.735761604764905e-18,0.11380008129483274,Numba vs PolyHok,Mann-Whitney,7.362413082236396e-11,9.025560645273085e-11,True,CUDA
nearest_neighbor,100000000,Kruskal-Wallis,5.777969719491771e-16,0.23795990812595913,CUDA vs Numba,Mann-Whitney,3.019859359162157e-11,9.036886820049856e-11,True,CUDA
nearest_neighbor,100000000,Kruskal-Wallis,5.777969719491771e-16,0.23795990812595913,CUDA vs PolyHok,Mann-Whitney,3.0122956066832855e-11,9.036886820049856e-11,True,CUDA
