"ferramenta","benchmark","tamanho","rodada","tempo_ms"
"Numba","saxpy","125000000","5","605.300000"
"PolyHok","saxpy","50000000","5","427.000000"
"PolyHok","nbodies","30000","5","934.000000"
"CUDA","nearest_neighbor","40000000","5","372.640000"
"PolyHok","mm","3000","5","588.000000"
"PolyHok","nearest_neighbor","60000000","5","1013.000000"
"Numba","saxpy","75000000","5","459.130000"
"PolyHok","nearest_neighbor","40000000","5","803.000000"
"CUDA","mm","2500","5","191.220000"
"CUDA","saxpy","100000000","5","250.880000"
"CUDA","nbodies","30000","5","478.220000"
"CUDA","mm","2000","5","87.040000"
"Numba","julia","500","5","286.670000"
"PolyHok","mm","2500","5","519.000000"
"CUDA","julia","2500","5","177.110000"
"PolyHok","nbodies","15000","5","483.000000"
"Numba","nearest_neighbor","40000000","5","738.540000"
"CUDA","saxpy","75000000","5","194.240000"
"Numba","saxpy","150000000","5","697.080000"
"Numba","nbodies","35000","5","774.720000"
"CUDA","julia","1000","5","28.530000"
"PolyHok","mm","3500","5","863.000000"
"Numba","nearest_neighbor","80000000","5","1153.930000"
"Numba","mm","3000","5","971.360000"
"Numba","nbodies","20000","5","530.740000"
"PolyHok","saxpy","100000000","5","577.000000"
"CUDA","saxpy","150000000","5","401.930000"
"PolyHok","saxpy","125000000","5","652.000000"
"CUDA","nbodies","20000","5","298.870000"
"PolyHok","nbodies","20000","5","540.000000"
"PolyHok","mm","4000","5","1025.000000"
"PolyHok","julia","2500","5","252.000000"
"Numba","julia","2000","5","491.140000"
"PolyHok","mm","2000","5","373.000000"
"CUDA","nearest_neighbor","80000000","5","861.630000"
"Numba","julia","1000","5","331.230000"
"CUDA","nbodies","15000","5","117.460000"
"CUDA","julia","1500","5","63.610000"
"Numba","nearest_neighbor","100000000","5","2617.560000"
"Numba","nearest_neighbor","20000000","5","512.750000"
"PolyHok","saxpy","50000000","6","512.000000"
"Numba","nbodies","25000","6","686.910000"
"PolyHok","julia","2500","6","312.000000"
"CUDA","nbodies","20000","6","298.820000"
"CUDA","nbodies","25000","6","395.430000"
"Numba","nbodies","15000","6","406.830000"
"Numba","mm","3500","6","1391.020000"
"PolyHok","mm","3500","6","861.000000"
"Numba","saxpy","125000000","6","633.190000"
"CUDA","saxpy","75000000","6","448.270000"
"PolyHok","nearest_neighbor","20000000","6","794.000000"
"CUDA","mm","3500","6","565.510000"
"CUDA","nearest_neighbor","60000000","6","571.900000"
"PolyHok","saxpy","125000000","6","665.000000"
"PolyHok","julia","2000","6","187.000000"
"Numba","nearest_neighbor","20000000","6","522.390000"
"PolyHok","julia","500","6","72.000000"
"Numba","nbodies","20000","6","537.400000"
"PolyHok","saxpy","75000000","6","491.000000"
"CUDA","nearest_neighbor","20000000","6","186.950000"
"CUDA","julia","500","6","7.320000"
"CUDA","saxpy","125000000","6","313.700000"
"Numba","nearest_neighbor","60000000","6","932.920000"
"CUDA","nbodies","15000","6","115.160000"
"PolyHok","nbodies","25000","6","786.000000"
"CUDA","julia","2500","6","175.810000"
"CUDA","mm","4000","6","756.270000"
"CUDA","nbodies","30000","6","478.380000"
"Numba","nearest_neighbor","100000000","6","1358.600000"
"Numba","saxpy","75000000","6","451.280000"
"PolyHok","mm","2500","6","489.000000"
"CUDA","mm","2500","6","190.360000"
"Numba","julia","1000","6","327.410000"
"Numba","nearest_neighbor","80000000","6","1206.910000"
"PolyHok","julia","1500","6","132.000000"
"CUDA","mm","3000","6","301.880000"
"PolyHok","julia","1000","6","95.000000"
"PolyHok","nearest_neighbor","40000000","6","822.000000"
"Numba","nbodies","30000","6","650.030000"
"PolyHok","nearest_neighbor","60000000","6","1021.000000"
"CUDA","saxpy","150000000","6","375.270000"
"CUDA","julia","1000","6","28.300000"
"CUDA","nearest_neighbor","80000000","6","742.730000"
"CUDA","nearest_neighbor","100000000","6","929.470000"
"CUDA","saxpy","100000000","6","251.920000"
"PolyHok","nbodies","30000","6","900.000000"
"PolyHok","mm","2000","6","370.000000"
"Numba","saxpy","100000000","6","539.100000"
"Numba","julia","2000","6","475.010000"
"Numba","nearest_neighbor","40000000","6","730.540000"
"Numba","mm","4000","6","1951.250000"
"PolyHok","saxpy","150000000","6","694.000000"
"CUDA","julia","2000","6","112.240000"
"CUDA","mm","2000","6","88.560000"
"Numba","nbodies","35000","6","777.570000"
"PolyHok","mm","4000","6","1091.000000"
"PolyHok","saxpy","100000000","6","575.000000"
"CUDA","julia","1500","6","63.400000"
"Numba","mm","3000","6","1005.110000"
"PolyHok","nbodies","20000","6","545.000000"
"PolyHok","nbodies","35000","6","1008.000000"
"Numba","saxpy","150000000","6","763.330000"
"Numba","mm","2000","6","466.350000"
"PolyHok","nearest_neighbor","80000000","6","1353.000000"
"Numba","julia","500","6","287.850000"
"Numba","julia","1500","6","385.790000"
"PolyHok","nbodies","15000","6","451.000000"
"CUDA","nbodies","35000","6","701.960000"
"CUDA","saxpy","50000000","6","130.850000"
"PolyHok","mm","3000","6","642.000000"
"Numba","mm","2500","6","669.990000"
"Numba","julia","2500","6","595.210000"
"Numba","saxpy","50000000","6","393.540000"
"PolyHok","nearest_neighbor","100000000","6","1451.000000"
"CUDA","nearest_neighbor","40000000","6","372.160000"
"CUDA","nbodies","15000","7","115.210000"
"Numba","saxpy","150000000","7","688.790000"
"Numba","julia","1500","7","392.240000"
"PolyHok","nearest_neighbor","20000000","7","592.000000"
