benchmark,tamanho,ferramenta,n,media,desvio,cv_%,mediana,iqr,min,max,shapiro_W,shapiro_p,normal,anderson_A2,anderson_critico_5%
nbodies,25000,PolyHok,30,824.0333333333333,63.90752118778991,7.755453402506765,806.5,9.75,769.0,1087.0,0.5723553774013599,3.411761580852378e-08,False,5.094428759478291,0.712
nbodies,30000,CUDA,30,478.29066666666665,0.1178231677157517,0.02463421846319777,478.27,0.05500000000000682,478.14,478.7,0.7609264102372961,1.374398642820397e-05,False,2.527630366033563,0.712
nbodies,30000,Numba,30,663.1973333333333,103.67094305553023,15.631990336038278,643.0799999999999,9.019999999999982,637.93,1211.38,0.2178238706999155,1.5241693703010846e-11,False,9.863344924521236,0.712
nbodies,30000,PolyHok,30,914.3333333333334,54.61358510628028,5.9730497746569755,904.0,5.0,879.0,1200.0,0.29314417228000234,6.179604399998224e-11,False,8.264326098905016,0.712
nbodies,35000,CUDA,30,710.3870000000001,88.52900631801519,12.46208141731411,688.175,13.625,687.38,1176.45,0.24957138412731172,2.716854993827534e-11,False,8.976251067392184,0.712
nbodies,35000,Numba,30,788.9046666666668,25.60272234088336,3.245350600987279,781.815,16.124999999999886,773.28,910.46,0.5465075838810474,1.7231680449483177e-08,False,3.831046721622208,0.712
nbodies,35000,PolyHok,30,1225.3333333333333,778.5131422421064,63.53480486197822,1007.5,9.75,962.0,5114.0,0.33591478485441584,1.4335912985549293e-10,False,7.978522823541404,0.712
nearest_neighbor,20000000,CUDA,30,193.89200000000002,32.90844304199571,16.972563613762148,186.91,2.6525000000000034,185.84,367.75,0.2253479960167284,1.7453138188348296e-11,False,9.64444186936646,0.712
nearest_neighbor,20000000,Numba,30,597.1813333333333,256.5561936259113,42.96118771728374,525.8399999999999,26.102500000000077,510.36,1880.01,0.3429359561401739,1.6517942028121814e-10,False,7.697932336021545,0.712
nearest_neighbor,20000000,PolyHok,30,648.7666666666667,217.92591011362225,33.59079948316636,598.5,43.75,563.0,1761.0,0.3569301769301152,2.1976215236753165e-10,False,6.914690237127267,0.712
nearest_neighbor,40000000,CUDA,30,380.17100000000005,19.09092063494203,5.021666732849699,374.135,6.662499999999966,370.85,470.8,0.45817299708007475,1.9891836696671855e-09,False,5.647284968909126,0.712
nearest_neighbor,40000000,Numba,30,864.9730000000001,466.044368119825,53.87964342468782,739.04,23.769999999999982,723.62,2605.23,0.3081912208714055,8.27463740227165e-11,False,9.603092735181264,0.712
nearest_neighbor,40000000,PolyHok,30,858.7666666666667,238.2067608602666,27.738240211962882,803.0,7.75,759.0,2051.0,0.3149520693450395,9.447951509379444e-11,False,8.466146492691706,0.712
nearest_neighbor,60000000,CUDA,30,561.9616666666667,5.731265180979909,1.0198676388330004,558.87,7.5674999999999955,556.47,577.01,0.8071647944138163,8.880143760808279e-05,False,2.1775142457896663,0.712
nearest_neighbor,60000000,Numba,30,1332.1203333333337,1791.5966671880128,134.492104230925,941.815,18.300000000000068,924.64,10638.7,0.23444273691046513,2.0584169599441832e-11,False,9.930793451429295,0.712
nearest_neighbor,60000000,PolyHok,30,1064.2,56.08638657125889,5.2702862780735655,1046.5,26.0,1013.0,1261.0,0.7244086045687149,3.6072686174322394e-06,False,3.1286921434516373,0.712
nearest_neighbor,80000000,CUDA,30,753.173,21.523370321583,2.8576927640240686,745.72,10.502500000000055,742.73,861.63,0.4268968001605389,9.797547261476863e-10,False,5.320191367149519,0.712
nearest_neighbor,80000000,Numba,30,1166.9626666666663,28.55881407918044,2.4472774403963036,1156.02,27.82249999999999,1141.0,1260.82,0.8148832430310077,0.0001239361910905217,False,1.8394143714399362,0.712
nearest_neighbor,80000000,PolyHok,30,1398.0333333333333,457.58839231519977,32.73086423656087,1277.5,43.75,1248.0,3748.0,0.32531962067065856,1.1598833114623515e-10,False,7.594473685563564,0.712
nearest_neighbor,100000000,CUDA,30,936.9200000000002,10.85708984949467,1.1588064989000841,931.885,11.19500000000005,927.75,964.56,0.7721240206604696,2.1186021013718133e-05,False,2.5873140834266835,0.712
nearest_neighbor,100000000,Numba,30,1814.0819999999999,1906.6912744575127,105.10502140793596,1365.165,32.03250000000003,1347.57,11748.79,0.255774237625481,3.0477302185962035e-11,False,9.215390205246472,0.712
nearest_neighbor,100000000,PolyHok,30,1547.9666666666667,176.7067477846946,11.415410395445289,1490.5,46.25,1451.0,2285.0,0.5001645257366595,5.379993060607647e-09,False,5.825991358394866,0.712
saxpy,50000000,CUDA,30,131.245,5.994319005927826,4.567274186390207,131.01999999999998,7.214999999999975,125.14,148.26,0.8444590512813619,0.00047572086903105513,False,1.5006621608084316,0.712
saxpy,50000000,Numba,30,389.23400000000004,21.529398921731065,5.531222586344221,383.54999999999995,17.650000000000034,372.5,478.85,0.6741427403580096,6.70146552918155e-07,False,2.811480527727497,0.712
saxpy,50000000,PolyHok,30,445.7,70.785323824685,15.881831686041057,424.5,13.0,385.0,749.0,0.6006185096313519,7.426352258116289e-08,False,4.406636926253832,0.712
saxpy,75000000,CUDA,30,202.91100000000003,46.880661283879014,23.104051177057435,191.94,9.444999999999993,188.21,448.27,0.2905302501582897,5.876603039527702e-11,False,7.975878928380581,0.712
saxpy,75000000,Numba,30,478.92333333333335,86.49269797097817,18.05982125969602,453.585,7.6200000000000045,448.23,834.6,0.3532820629996909,2.039162602029629e-10,False,8.553821889886315,0.712
saxpy,75000000,PolyHok,30,566.4,245.9541028111854,43.424100072596296,502.0,30.75,456.0,1810.0,0.3345818586985093,1.395708291037873e-10,False,7.771167439820857,0.712
saxpy,100000000,CUDA,30,261.9273333333333,14.035823608460465,5.358670830507876,254.595,23.022500000000036,250.39,306.36,0.7911268312279961,4.5370077675016376e-05,False,2.3074531534914797,0.712
saxpy,100000000,Numba,30,564.2173333333333,103.2547370853982,18.300525521855327,534.44,13.610000000000014,524.07,1035.36,0.39930385013043423,5.358129612532429e-10,False,7.534727558506923,0.712
saxpy,100000000,PolyHok,30,657.1,261.5379381723583,39.80184723365671,585.5,70.25,563.0,1996.0,0.3470604243972174,1.796021691580126e-10,False,7.0580687681202505,0.712
saxpy,125000000,CUDA,30,348.03433333333334,125.40545447311771,36.032495205870795,315.23,16.62000000000006,311.74,1002.27,0.2871840504761576,5.511330628760936e-11,False,8.203853372348696,0.712
saxpy,125000000,Numba,30,634.5816666666666,78.75722530984537,12.41088884958522,606.935,28.697499999999877,599.52,973.1,0.469168798684661,2.568125572542116e-09,False,6.250887389053119,0.712
saxpy,125000000,PolyHok,30,696.0,133.86354349060863,19.23326774290354,650.5,31.5,635.0,1307.0,0.4570011487585057,1.9361557773985206e-09,False,6.093433903416084,0.712
saxpy,150000000,CUDA,30,401.22133333333335,51.50372211077922,12.836735694706965,384.31,25.05250000000001,375.27,653.1,0.4714862067952059,2.7113907574032374e-09,False,4.93599879936599,0.712
saxpy,150000000,Numba,30,908.9809999999999,838.20017343135,92.21316764941733,685.35,34.5625,676.23,4825.29,0.3034032298360261,7.537020239433533e-11,False,9.336020196330551,0.712
saxpy,150000000,PolyHok,30,805.9,217.83833771701057,27.03044269971592,731.0,74.75,688.0,1738.0,0.4930909018845351,4.532664510834487e-09,False,5.93859624285907,0.712
